SalesRepID,RepName,RepTeam,RepRegion,REP_DATE
REP-001,Sarah Johnson 1,Mid-Market Sales,North America,1/13/2020
REP-002,Sarah Johnson 2,Enterprise Sales,Asia Pacific,1/13/2020
REP-003,David Wilson 3,Mid-Market Sales,North America,1/14/2020
REP-004,John Smith 4,Channel Sales,Asia Pacific,1/15/2020
REP-005,Michael Brown 5,Enterprise Sales,North America,1/16/2020
REP-006,Emily Davis 6,Enterprise Sales,Europe,1/17/2020
REP-007,John Smith 7,Mid-Market Sales,Asia Pacific,1/18/2020
REP-008,Michael Brown 8,Mid-Market Sales,Asia Pacific,1/19/2020
REP-009,Emily Davis 9,Channel Sales,Asia Pacific,1/20/2020
REP-010,John Smith 10,Enterprise Sales,Asia Pacific,1/21/2020
REP-011,Emily Davis 11,Enterprise Sales,Asia Pacific,1/22/2020
REP-012,Emily Davis 12,Channel Sales,Asia Pacific,1/23/2020
REP-013,David Wilson 13,Mid-Market Sales,Europe,1/24/2020
REP-014,John Smith 14,Enterprise Sales,North America,1/25/2020
REP-015,David Wilson 15,Mid-Market Sales,North America,1/26/2020
REP-016,Sarah Johnson 16,Channel Sales,North America,1/27/2020
REP-017,John Smith 17,Enterprise Sales,Europe,1/28/2020
REP-018,Sarah Johnson 18,Mid-Market Sales,Asia Pacific,1/29/2020
REP-019,Michael Brown 19,Enterprise Sales,Asia Pacific,1/30/2020
REP-020,John Smith 20,Channel Sales,North America,1/31/2020
REP-021,David Wilson 21,Mid-Market Sales,North America,2/1/2020
REP-022,Michael Brown 22,Enterprise Sales,North America,2/2/2020
REP-023,John Smith 23,Channel Sales,Europe,2/3/2020
REP-024,David Wilson 24,Channel Sales,North America,2/4/2020
REP-025,Emily Davis 25,Enterprise Sales,North America,2/5/2020
REP-026,PRAVIN MANKAPE,ENTERPRISE SALES,NORTH AMERICA,2/5/2020
